feature,importance
V19,3275.269989013672
V333,3248.4090270996094
V72,3160.2920532226562
V152,3045.671875
V198,2739.2586402893066
V33,2691.3900146484375
V244,2655.830108642578
ProductCD_H,2638.9190673828125
V268,2519.8808822631836
V_feature_count,2446.3147048950195
V217,2376.85498046875
V127,2288.8690185546875
V34,2189.550994873047
V13,2131.944061279297
V233,2035.8986206054688
V273,1920.142936706543
V103,1910.22998046875
id_12_NotFound,1878.0339660644531
V136,1811.9739990234375
V254,1791.8570022583008
V150,1791.800048828125
id_02,1789.624984741211
V92,1771.8779907226562
V61,1735.4459838867188
dist1,1709.3190002441406
V99,1681.7700119018555
V189,1659.100314617157
card4_visa,1611.3299560546875
V295,1607.3900146484375
V78,1560.1950378417969
V63,1531.8959655761719
V37,1496.300048828125
V22,1485.22998046875
V200,1425.2099914550781
V151,1392.6800537109375
id_14,1373.9300537109375
V332,1323.4730072021484
V67,1312.1009826660156
V98,1207.7219848632812
V51,1176.3290100097656
V299,1166.5
M4_M1,1165.4539794921875
V199,1133.449951171875
V335,1111.6600341796875
has_card2,1003.5599975585938
V320,998.9879760742188
V326,988.4359741210938
V225,980.9227828979492
V218,908.6520233154297
V141,844.0809936523438
V275,833.1979751586914
V297,803.8900146484375
V149,755.7080078125
V289,753.073974609375
V292,741.780029296875
V193,737.375
V194,671.6409912109375
V196,606.10302734375
V74,600.6619873046875
V156,590.9910278320312
V115,578.5280151367188
id_32,569.406005859375
V239,544.9240036010742
V47,521.0330200195312
V245,518.0719909667969
M9_T,503.4909973144531
V96,492.5069885253906
card4_discover,485.7539978027344
V188,455.6390151977539
V56,450.57501220703125
V207,433.34698486328125
V173,413.2229919433594
V83,387.36180877685547
V261,382.6409912109375
V231,380.41600036621094
has_card5,372.22900390625
V94,370.1730041503906
V316,349.0139923095703
V229,335.2850036621094
V303,331.8800048828125
DeviceType_desktop,325.0060119628906
V267,293.0150146484375
V5,283.2850036621094
V248,277.3999938964844
V323,271.9849853515625
D12,267.7619934082031
V178,266.4849853515625
V277,241.75399780273438
M8_T,204.6580047607422
TransactionDayOfWeek,191.50999450683594
id_05,173.0319938659668
V64,150.51600646972656
V266,148.28500366210938
V259,137.26400756835938
V263,136.427001953125
V331,131.49200439453125
V168,124.20099639892578
V175,119.03099822998047
id_31,115.80400085449219
V174,106.84600067138672
id_19,97.93669891357422
V256,96.4009017944336
V209,94.7958984375
V293,89.83419799804688
V253,89.1615982055664
V210,85.1406021118164
V272,66.82569885253906
V203,55.22869873046875
V274,32.84550094604492
TransactionHour,0.8955889940261841
V208,0.863090991973877
V197,0.0
V14,0.0
V104,0.0
V11,0.0
C_feature_count,0.0
identity_missing_ratio,0.0
V105,0.0
has_P_email,0.0
V15,0.0
is_night_txn,0.0
has_device_info,0.0
has_device_type,0.0
V16,0.0
V106,0.0
V68,0.0
is_evening,0.0
V10,0.0
V107,0.0
is_weekend,0.0
V9,0.0
card1_is_rare,0.0
V8,0.0
card2_is_rare,0.0
V7,0.0
card3_is_rare,0.0
V6,0.0
card5_is_rare,0.0
V101,0.0
addr1_is_rare,0.0
addr2_freq,0.0
has_card3,0.0
V18,0.0
V17,0.0
V114,0.0
V339,0.0
V24,0.0
V118,0.0
id_03,0.0
id_04,0.0
V117,0.0
V23,0.0
id_07,0.0
id_08,0.0
id_09,0.0
id_10,0.0
id_11,0.0
id_13,0.0
V116,0.0
id_18,0.0
V100,0.0
V113,0.0
V21,0.0
id_21,0.0
id_22,0.0
id_24,0.0
id_25,0.0
id_26,0.0
V112,0.0
V111,0.0
V110,0.0
V20,0.0
V109,0.0
V108,0.0
is_low_amt,0.0
addr2_is_rare,0.0
V4,0.0
DeviceType_is_rare,0.0
id_28_Unknown,0.0
V80,0.0
M9_Unknown,0.0
V79,0.0
id_12_Unknown,0.0
id_15_New,0.0
id_15_Unknown,0.0
id_16_NotFound,0.0
id_16_Unknown,0.0
id_23_IP_PROXY_HIDDEN,0.0
